'score_id';'question_id';'reponse_id'
'3';'1';'3'
'3';'2';'8'
'3';'3';'10'
'3';'4';'13'
'3';'5';'20'
'3';'6';'21'
'3';'7';'28'
'3';'8';'29'
'3';'9';'36'
'3';'10';'40'
'3';'11';'41'
'3';'12';'46'
'3';'13';'52'
'3';'14';'54'
'3';'15';'57'
'3';'16';'62'
'3';'17';'68'
'3';'18';'70'
'3';'19';'73'
'3';'20';'79'
'3';'21';'83'
'3';'22';'88'
'3';'23';'89'
'3';'24';'94'
'3';'25';'97'
'3';'26';'101'
'3';'27';'107'
'3';'28';'112'
'3';'29';'114'
'3';'30';'118'
'3';'31';'123'
'3';'32';'127'
'3';'33';'129'
'3';'34';'134'
'3';'35';'139'
'3';'36';'144'
'3';'37';'147'
'3';'38';'152'
'3';'39';'154'
'3';'40';'159'
'3';'41';'164'
'3';'42';'166'
'3';'43';'171'
'3';'44';'176'
'3';'45';'178'
'3';'46';'183'
'3';'47';'186'
'3';'48';'192'
